id,lat,lon
Chengong Public Housing,25.02702,121.5467
Dunhua & Keelung Intersection,25.02207,121.5484
JianGuo & Heping Intersection,25.03445,121.5375
Jinshan & Aiguo Intersection,25.03179,121.527
Keelung & Changxing Intersection,25.0172,121.5448
LiuGong Park,25.04299,121.5485
Longmen Square,25.04103,121.5488
MRT Daan Park Sta.,25.03372,121.5340
MRT Daan Sta.,25.03389,121.5448
MRT Dongmen Sta. (Exit 4),25.03385,121.5296
MRT Gongguan Sta.(Exit 2),25.01495,121.5346
MRT Linguang Sta. (Exit 2),25.01846,121.5607
MRT Liuzhangli Sta.,25.02397,121.5524
MRT S.Y.S Memorial Hall Stataion(Exit 2.),25.04124,121.5575
MRT Taipower Building Sta. (Exit 2),25.02082,121.5286
MRT Technology Bldg. Sta.,25.026013,121.543121
MRT Xinyi Anhe Sta.,25.033424,121.553036
MRT Zhongxiao Fuxing Sta.(Exit 2),25.042498,121.532137
MRT Zhongxiao Xinsheng Sta.(Exit 3),25.042149,121.533983
N.T.U.S.T,25.013072,121.539735
NTNU Library,25.02671,121.528596
NTU Information Bldg.,25.021701,121.540389
Renai & Yanji Intersection,25.037545,121.555796
Roosevelt & Xinsheng S. Intersection,25.016155,121.53331
Taipei City Hospital Renai Branch,25.037719,121.545594
Taipei Public Library,25.029059,121.538201
Wolong & Leye Intersection,25.018775,121.555697
Xinhai & Xinsheng Intersection,25.022736,121.534861
Xinsheng & Heping Intersection,25.026504,121.535311
Xinyi & Dunhua Intersection,25.033647,121.549739
Xinyi & Jianguo Intersection,25.033508,121.537442
